ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
708884275,Oui,G (de 451 &agrave; 590),35000,D (de 21 &agrave; 35),425.0,Non meublé,2,ges17230001,32 m,Appartement,Rennes,708884275
708474589,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),820.0,Non meublé,4,,81 m,Appartement,Rennes,708474589
708448058,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),400.0,Meublé,1,,12 m,Appartement,Rennes,708448058
708442750,,A (moins de 50),35000,B (de 6 &agrave; 10),650.0,Non meublé,3,,68 m,Appartement,Rennes,708442750
708425621,,Vierge,35000,Vierge,710.0,Non meublé,4,,87 m,Appartement,Rennes,708425621
689793431,,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),330.0,Meublé,1,,12 m,Appartement,Rennes,689793431
691485328,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),830.0,Non meublé,5,,90 m,Appartement,Rennes,691485328
708449615,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),453.0,Non meublé,1,414v,21 m,Appartement,Rennes,708449615
708496877,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),420.0,Non meublé,1,355l,28 m,Appartement,Rennes,708496877
708377045,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),1335.0,Non meublé,6,,137 m,Appartement,Rennes,708377045
708357561,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),720.0,Non meublé,5,,84 m,Appartement,Rennes,708357561
708512323,Oui,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),480.0,Non meublé,2,4144m,48 m,Appartement,Rennes,708512323
